Код;Название;Цена;Мингод;Мин;МестОбщ;Бюдж;Целевик;Квота;Плат;Экз
50306;Экология и природопользование;152 700,00 рублей;159;118;23;16;2;0;5;Биология, Химия/Математика, Русский язык
60301;Биология;152 700,00 рублей;159;118;35;27;3;0;5;Биология, Химия/Математика, Русский язык
350304;Агрономия. Профиль «Растениеводство и фитодизайн»;152 700,00 рублей;145;118;20;13;2;0;5;Биология, Химия/Математика, Русский язык
350308;"Водные биоресурсы и аквакультура Профиль ""Аквакультура""";152 700,00 рублей;174;118;25;18;2;0;5;Биология, Химия/Математика, Русский язык
360302;Зоотехния;152 700,00 рублей;140;118;25;18;2;0;5;Биология, Химия/Математика, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Биология и Химия)""";133 200,00 рублей;160;124;15;9;1;0;5;Обществознание, Химия/Математика/Биология, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Английский язык и Немецкий язык)""";133 200,00 рублей;261;184;30;18;2;0;10;Иностранный язык, Обществознание, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Английский язык и Французский язык)""";133 200,00 рублей;249;183;30;18;2;0;10;Иностранный язык, Обществознание, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Немецкий язык и Английский язык)""";133 200,00 рублей;232;183;30;18;2;0;10;Иностранный язык, Обществознание, Русский язык
450302;Лингвистика;133 200,00 рублей;нет информации;156;25;0;0;0;25;Иностранный язык, Обществознание, Русский язык
460301;История;133 200,00 рублей;199;179;30;22;3;0;5;История, Обществознание/Иностранный язык, Русский язык
410305;Международные отношения;133 200,00 рублей;199;179;20;13;2;0;5;История, Обществознание/Иностранный язык, Русский язык
390301;Социология;133 200,00 рублей;228;217;20;13;2;0;5;Обществознание, Математика/История, Русский язык
390302;Социальная работа;133 200,00 рублей;192;151;20;13;2;0;5;История, Обществознание/Иностранный язык, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль «Образование в предметных областях (История и Обществознание)»";133 200,00 рублей;202;175;20;13;2;0;5;История, Обществознание/Иностранный язык, Русский язык
210504;Горное дело;184 800,00 рублей;143;120;25;18;2;0;5;Математика, Физика/Информатика, Русский язык
440305;Педагогическое образование. География и Английский язык;133 200,00 рублей;172;124;20;13;2;0;5;Обществознание, География/Иностранный язык, Русский язык
150302;Технологические машины и оборудование;152 700,00 рублей;134;120;28;21;2;0;5;Математика, Физика/Информатика, Русский язык
350301;Лесное дело;152 700,00 рублей;142;121;27;20;2;0;5;Математика, Химия/Биология/Информатика, Русский язык
350310;Ландшафтная архитектура;152 700,00 рублей;136;120;23;16;2;0;5;Математика, Химия/Биология/Информатика, Русский язык
350306;Агроинженерия;152 700,00 рублей;139;124;25;18;2;0;5;Математика, Физика/Информатика, Русский язык
80301;Строительсто;152 700,00 рублей;143;120;90;76;9;0;5;Математика, Физика/Информатика, Русский язык
350302;Технология лесозаготовительных и деревоперерабатывающих производств;152 700,00 рублей;132;118;30;22;3;0;5;Математика, Физика/Информатика, Русский язык
230303;Эксплуатация транспортно-технологических машин и комплексов;152 700,00 рублей;143;124;20;0;0;0;20;Математика, Физика/Информатика, Русский язык
10301;Математика. Профиль «Математика в образовании, фундаментальных и прикладных исследованиях»;133 200,00 рублей;195;118;20;13;2;0;5;Математика, Физика/Информатика, Русский язык
10302;"Прикладная математика и информатика. Профиль «Прикладная математика и информационно-коммуникационные технологии»";133 200,00 рублей;184;118;45;36;4;0;5;Математика, Физика/Информатика, Русский язык
90302;Информационные системы и технологии. Профиль «Разработка информационных систем»;152 700,00 рублей;223;129;45;31;4;0;10;Математика, Информатика, Русский язык
90304;Программная инженерия. Профиль «Системное и прикладное программное обеспечение»;152 700,00 рублей;217;129;30;18;2;0;10;Математика, Информатика, Русский язык
440305;Педагогическое образование (с двумя профилями подготовки). Профиль «Образование в предметных областях (Математика и Информатика)»;133 200,00 рублей;198;124;20;13;2;0;5;Математика, Обществознание, Русский язык
370301;Психология;133 200,00 рублей;нет информации;118;10;0;0;0;10;Биология, Химия/Математика, Русский язык
440301;"Педагогическое образование. Профиль ""Начальное образование""";133 200,00 рублей;176;124;25;18;2;0;5;Русский язык, Обществознание, Математика/Иностранный язык
