Код;Название;Цена;Мингод;Мин;МестОбщ;Бюдж;Целевик;Квота;Плат;Экз
440302;"Психолого-педагогическое образование. Профиль ""Педагог-психолог дошкольного образования""";133 200,00 рублей;147;118;20;13;2;0;5;Биология, Русский язык, Математика/Собеседование
440302;"Психолого-педагогическое образование. Профиль ""Психология образования""";133 200,00 рублей;158;118;20;13;2;0;5;Биология, Русский язык, Математика/Собеседование
440303;"Специальное(дефектологическое) образование. Профиль ""Дошкольная дефектология""";133 200,00 рублей;146;118;20;13;2;0;5;Биология, Русский язык, Математика/Собеседование
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Начальное образование и образование в предметной области Английский язык""";133 200,00 рублей;160;124;25;18;2;0;5;Русский язык, Обществознание, Математика/Иностранный язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметной области Технология и дополнительное образование в области декоративно-прикладного творчества""";133 200,00 рублей;161;119;15;9;1;0;5;Творческая работа, Обществознание, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметной области Технология и дополнительное образование в области инженерно-технического творчества""";133 200,00 рублей;144;119;15;9;1;0;5;Творческая работа, Обществознание, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Изобразительное искусство и мировая художественная культура)""";133 200,00 рублей;174;119;20;13;2;0;5;Творческая работа, Обществознание, Русский язык
540301;Дизайн-ПБ;165 750,00 рублей;250;114;20;0;0;0;20;Творческая работа, Литература, Русский язык
200301;Техносферная безопасность;133 200,00 рублей;нет информации;118;15;0;0;0;15;Математика, Физика/Информатика, Русский язык
430302;"Туризм. Профиль ""Проектирование и технология организации туристских и экскурсионных услуг""";133 200,00 рублей;199;120;20;13;2;0;5;Обществознание/Иностранный язык, История, Русский язык
430303;"Гостиничное дело. Профиль ""Гостиничный сервис""";133 200,00 рублей;198;120;19;13;1;0;5;Обществознание/Иностранный язык, История, Русский язык
440301;"Педагогическое образование. Профиль ""Образование в предметной области Физическая культура""";133 200,00 рублей;220;125;30;22;3;0;5;ОФП, Обществознание, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Безопасность жизнедеятельности и Физическая культура)""";133 200,00 рублей;217;125;20;13;2;0;5;ОФП, Обществознание, Русский язык
490302;"Физическая культура для лиц с отклонениями в состоянии здоровья. Профиль ""Физическая культура, адаптивная физическая культура и адаптивный спорт""";184 800,00 рублей;133;119;19;13;1;0;5;ОФП, Биология, Русский язык
420302;"Журналистика. Профиль ""Средства массовой информации""";133 200,00 рублей;236;120;18;12;1;0;5;Творческое испытание, Литература/Иностранный язык, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Русский язык и литература)""";133 200,00 рублей;201;125;20;13;2;0;5;Русский язык, Обществознание, Литература/Иностранный язык
450301;Филология. Зарубежная филология (Финский язык и литература);133 200,00 рублей;244;125;14;8;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык
450301;"Филология. Профиль ""Зарубежная филология (Английский язык и литература, немецкий язык)""";133 200,00 рублей;252;110;14;8;1;0;5;Иностранный язык, Русский язык, Литература
450301;"Филология. Профиль ""Зарубежная филология (Финский язык и литература, вепсский язык)""";133 200,00 рублей;201;125;9;3;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык
450301;"Филология. Профиль ""Зарубежная филология (Финский язык и литература, карельский язык)""";133 200,00 рублей;216;125;11;5;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык
450301;"Филология. Профиль ""Зарубежная филология (Шведский язык и литература, английский язык)""";133 200,00 рублей;260;110;14;8;1;0;5;Иностранный язык, Русский язык, Литература
450301;"Филология. Профиль ""Классическая филология""";133 200,00 рублей;216;125;14;8;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык
450301;"Филология. Профиль ""Прикладная филология (Русский язык и литература)""";133 200,00 рублей;210;125;14;8;1;0;5;Русский язык, Литература, Обществознание/Иностранный язык
450302;"Лингвистика. Профиль ""Русский язык как иностранный""";133 200,00 рублей;нет информации;115;15;0;0;0;15;Русский язык, Иностранный язык, Обществознание/Литература
380301;"Экономика. Профиль ""Финансы, кредит и бухгалтерский учет""";133 200,00 рублей;220;124;40;18;2;0;20;Математика, Обществознание/Информатика, Русский язык
380302;"Менеджмент. Профиль ""Финансовый менеджмент""";133 200,00 рублей;244;124;40;18;2;0;20;Математика, Обществознание/Информатика, Русский язык
400301;Юриспруденция;133 200,00 рублей;нет информации;120;29;8;1;0;20;Обществознание, Русский язык, История/Иностранный язык
310501;"Лечебное дело. Специализация ""Лечебное дело""";184 800,00 рублей;208;150;180;117;13;0;50;Химия, Биология, Русский язык
310502;"Педиатрия. Специализация ""Педиатрия""";184 800,00 рублей;181;150;70;54;6;0;10;Химия, Биология, Русский язык
330501;Фармация. Специализация «Фармация»;152 700,00 рублей;204;150;20;9;1;0;10;Химия, Биология, Русский язык
30302;"Физика. Профиль ""Медицинская физика""";152 700,00 рублей;нет информации;118;20;0;0;0;20;Физика,  Математика/Информатика, Русский язык
90301;"Информатика и вычислительная техника. Профиль ""Проектирование информационных систем в экономике""";152 700,00 рублей;192;118;32;24;3;0;5;Математика, Физика/Информатика, Русский язык
90301;"Информатика и вычислительная техника. Профиль ""Системы обработки информации и управления""";152 700,00 рублей;192;118;33;25;3;0;5;Математика, Физика/Информатика, Русский язык
110304;"Электроника и наноэлектроника. Профиль ""Структура и свойства материалов электроники и нанэлектроники""";152 700,00 рублей;нет информации;118;27;20;2;0;5;Математика, Физика/Информатика, Русский язык
120301;"Приборостроение. Профиль ""Информационно-измерительные приборы и системы""";152 700,00 рублей;190;118;25;18;2;0;5;Математика, Физика/Информатика, Русский язык
130301;"Теплоэнергетика и теплотехника. Профиль ""Промышленная теплоэнергетика""";152 700,00 рублей;154;118;25;18;2;0;5;Математика, Физика/Информатика, Русский язык
130302;"Электроэнергетика и электротехника. Профиль ""Электропривод и автоматика""";152 700,00 рублей;142;118;23;16;2;0;5;Математика, Физика/Информатика, Русский язык
130302;"Электроэнергетика и электротехника. Профиль ""Электроснабжение""";152 700,00 рублей;142;118;23;16;2;0;5;Математика, Физика/Информатика, Русский язык
440305;"Педагогическое образование (с двумя профилями подготовки). Профиль ""Образование в предметных областях (Физика и информатика)""";133 200,00 рублей;нет информации;124;15;9;1;0;5;Математика/Физика, Обществознание, Русский язык
